eng_Latn,mal_Mlym
"Anne Boleyn and Catherine Howard, first cousins and the second and fifth wives of King Henry VIII were both condemned to be burnt alive for adultery, but on Henry's orders they were both beheaded.
","ഇംഗ്ലണ്ടിലെ ഹെൻട്രി എട്ടാമൻ രാജാവിന്റെ രണ്ടാമതും അഞ്ചാമതും ഭാര്യമാരായ ആനി ബോളിൻ, കാതറിൻ ഹൊവാർഡ് എന്നിവരെ വിവാഹേതര ലൈംഗികബന്ധക്കുറ്റത്തിന് രാജാവിന്റെ ഇഷ്ടത്തിനനുസരിച്ച് ശിരഛേദം ചെയ്തോ തീവച്ചോ കൊല്ലാൻ വിധിക്കപ്പെടുകയുണ്ടായി, ഇവരെ ശിരഛേദം ചെയ്താണ് കൊന്നത്.
"
"Are you sure you're not his cousin?
","നീ അയാളുടെ ഒരു ക്ലയ്ന്റല്ലെന്ന് തീർച്ചയാണോ?
"
"As a schoolboy (inspired by his cousin Karl eigert who owned one of the first microtomes) he became fascinated by the process of staining microscopic tissue substances.
","ഒരു സ്കൂൾ വിദ്യാർത്ഥിയെന്ന നിലയിൽ (ആദ്യത്തെ മൈക്രോടോമുകളിലൊന്നിന്റെ ഉടമയായ അദ്ദേഹത്തിന്റെ കസിൻ കാൾ വെയ്ഗെർട്ടിൽനിന്നുള്ള പ്രചോദനം), മൈക്രോസ്കോപ്പിക് ടിഷ്യു പദാർത്ഥങ്ങളിൽ കറപിടിപ്പിക്കുന്ന പ്രക്രിയയിൽ അദ്ദേഹം ആകൃഷ്ടനായി.
"
"As per reports, Raina's family told how three of her siblings and five of her cousins were amongst those swimming.
","കുളിക്കുന്നവരിൽ മൂന്ന് സഹോദരങ്ങളും അഞ്ച് കസിൻസും എങ്ങനെയുണ്ടെന്ന് റെയ്നയുടെ കുടുംബം വിവരിച്ചു.
"
"As soon as I woke up the next day I called my cousin who has the boys and shared these things.
","അടുത്ത ദിവസം എഴുന്നേറ്റ ഉടനെ ആൺകുട്ടികൾ ഉള്ള എൻ്റെ കസിൻസിനെ വിളിച്ച് ഞാൻ ഇക്കാര്യങ്ങൾ പങ്കുവച്ചു.
"
"At the age of 16 he married his cousin, Yasodhara.
","പതിനാറാമത്തെ വയസ്സിൽ അദ്ദേഹം തന്റെ ദായാദിജയായ യശോദരയെ വിവാഹം ചെയ്തു.
"
"BUT my cousin...
","എന്നാലും എന്റെ അളിയാ. . .
"
"Bhonsle's cousin Shivendrasinh, who represented the Satara seat for the NCP in Maharashtra Assembly, joined the BJP on July 31.
","മഹാരാഷ്ട്ര നിയമസഭയിൽ എൻസിപിയുടെ സതാര സീറ്റിനെ പ്രതിനിധീകരിച്ചിരുന്ന ഭോസാലെയുടെ കസിൻ ശിവേന്ദ്രസിങ് ജൂലൈ 31 നാണ് ബിജെപിയിൽ ചേർന്നത്.
"
"Bilawal, 32, and his cousin Rashwinder Singh, 30, farmers from 41 RB village in Rajasthan's Ganganagar district, are among the thousands of protestors camping at Shahjahanpur on the Rajasthan-Haryana border, around 120 kilometres to the south of Delhi.
","രാജസ്ഥാനിലെ ഗംഗാനഗർ ജില്ലയിലെ ആർബി ഗ്രാമത്തിൽ നിന്നുള്ള 32-കാരനായ ബിലാവലും അദ്ദേഹത്തിൻറെ 30-കാരനായ കസിൻ റഷ്വീന്ദർ സിംഗും ഡെൽഹിയ്ക്ക് തെക്ക് ഏകദേശം 120 കി. മീ. മാറി രാജസ്ഥാൻ-ഹരിയാന അതിർത്തിയിൽ തമ്പടിച്ചിരിയ്ക്കുന്ന ആയിരക്കണക്കിന് പ്രതിഷേധക്കാരിൽ നിന്നുള്ളവരാണ്.
"
"Blueberries are a particularly rich source of pterostilbene; although it is found in grapes, pterostilbene (unlike its cousin resveratrol) doesn't survive the wine-making process.
","ബ്ലൂബെറി പ്രത്യേകിച്ച് ടെറോസ്റ്റിൽബീനിന്റെ സമ്പന്നമായ ഉറവിടമാണ്; ഇത് മുന്തിരിപ്പഴത്തിൽ കാണപ്പെടുന്നുണ്ടെങ്കിലും, ടെറോസ്റ്റിൽബീൻ (അതിന്റെ കസിൻ റെസ്വെറട്രോളിൽ നിന്ന് വ്യത്യസ്തമായി) വൈൻ നിർമ്മാണ പ്രക്രിയയെ അതിജീവിക്കുന്നില്ല.
"
"Boris Serebryakov was her cousin, they loved each other and dreamed of getting married.
","ബോറിസ് സെരെബ്ര്യകൊവ് ദേവകി ആയിരുന്നു അവർ പരസ്പരം കുട്ടിക്കാലം സ്നേഹിച്ചു വിവാഹം സ്വപ്നം.
"
"Both were first cousins of the King.
","രണ്ടു പേരും ആദ്യം രാജാവിന്റെ പ്രീതിപാത്രങ്ങൾ.
"
"But he did not get a favourable response from his cousin.
","എന്നാൽ സഹോദരനിൽ നിന്ന് അനുകൂല പ്രതികരണമല്ല ലഭിച്ചതെന്നാണ് വിവരം.
"
"Can I marry mother's cousin's daughter?
","എനിക്ക് എൻറെ ഉപ്പയുടെ അനിയൻറെ മകളെ വിവാഹം കഴിക്കാൻ പറ്റുമോ
"
"Can I marry my father's cousin brother's daughter?
","എനിക്ക് എൻറെ ഉപ്പയുടെ അനിയൻറെ മകളെ വിവാഹം കഴിക്കാൻ പറ്റുമോ
"
"Can I marry my father's cousin sister's daughter?
","എനിക്ക് എൻറെ ഉപ്പയുടെ അനിയൻറെ മകളെ വിവാഹം കഴിക്കാൻ പറ്റുമോ
"
"Can I marry my father's cousin sister's son?
","എനിക്ക് എൻറെ ഉപ്പയുടെ അനിയൻറെ മകളെ വിവാഹം കഴിക്കാൻ പറ്റുമോ
"
"Can I marry my mom's cousin's daughter?
","എനിക്ക് എൻറെ ഉപ്പയുടെ അനിയൻറെ മകളെ വിവാഹം കഴിക്കാൻ പറ്റുമോ
"
"Can I marry my mother's cousin sister's daughter?
","എനിക്ക് എൻറെ ഉപ്പയുടെ അനിയൻറെ മകളെ വിവാഹം കഴിക്കാൻ പറ്റുമോ
"
"Can you see the resemblance between the two cousins?
","രണ്ട് സഹോദരന്മാരും തമ്മിലുള്ള സാമ്യം നിങ്ങൾക്ക് കണ്ടെത്താൻ കഴിയുമോ?
"
"Cantona has uncles and aunts who are yet to be identified, neither are his nieces, nephews, and cousins known at the time of writing.
","കന്റോണയ്ക്ക് അമ്മാവന്മാരും അമ്മായിമാരും ഇതുവരെ തിരിച്ചറിഞ്ഞിട്ടില്ല, അദ്ദേഹത്തിന്റെ മരുമക്കളും മരുമക്കളും കസിൻസും എഴുതുന്ന സമയത്ത് അറിയപ്പെടുന്നില്ല.
"
"Cantona has uncles and aunts who are yet to identified, neither are his nieces, nephews and cousins known at the time of writing.
","കന്റോണയ്ക്ക് അമ്മാവന്മാരും അമ്മായിമാരും ഇതുവരെ തിരിച്ചറിഞ്ഞിട്ടില്ല, അദ്ദേഹത്തിന്റെ മരുമക്കളും മരുമക്കളും കസിൻസും എഴുതുന്ന സമയത്ത് അറിയപ്പെടുന്നില്ല.
"
"Chandraswami and his cousin Vikram Singh, in 1992, were purchased from Prakashuchra Yadav, a 10 million dollars worth Rs 30 lakh, without the consent of the reserve Bank of India.
","ചന്ദ്രസ്വാമിയും കൂട്ടാളി വിക്രം സിംഗും കൂടി 1992ൽ 30 ലക്ഷം രൂപ വിലവരുന്ന 10,500 ഡോളർ പ്രകാശ്ചന്ദ്ര യാദവ് എന്നൊരാളിൽ നിന്നു റിസർവ് ബാങ്ക് അനുമതി കൂടാതെ വാങ്ങിയെന്നാണു കേസ്.
"
"Children of non-related couples have a 2-3% risk of birth defects, as opposed to first cousins having a 4-6% risk.
","""""""റാൻഡം ഇണചേർന്ന"""" ദമ്പതികളുടെ കുട്ടികൾക്ക് ജനന വൈകല്യങ്ങളുടെ 2-3% അപകടസാധ്യതയുണ്ട്, ക്രമരഹിതമായ ഇണചേരലിനോ സംയോഗത്തിനോ എതിരായി 4-6% അപകടസാധ്യതയുണ്ട്.""
"
"Colossians 4:10 My fellow prisoner Aristarchus sends you his greetings, as does Mark, the cousin of Barnabas.
","10: എന്റെ കൂട്ടുതടവുകാരനായ അരിസ് താർക്കൂസ് നിങ്ങളെ അഭിവാദനംചെയ്യുന്നു, അപ്രകാരം തന്നെ ബാർണബാസിന്റെ പിതൃവ്യപുത്രനായ മർക്കോസും.
"
"Darwin chose to marry his cousin, Emma Wedgwood.
","തന്റെ കസിൻ ആയിരുന്ന എമ്മാ വെഡ്ജ്വുഡിനെ ആയിരുന്നു ഡാർവിൻ വിവാഹം കഴിച്ചിരുന്നതു്.
"
"Darwin married his cousin, Emma Wedgwood.
","തന്റെ കസിൻ ആയിരുന്ന എമ്മാ വെഡ്ജ്വുഡിനെ ആയിരുന്നു ഡാർവിൻ വിവാഹം കഴിച്ചിരുന്നതു്.
"
"Darwin married his first cousin and they had 10 children.
","തന്റെ ആദ്യ കസിനായ എമ്മയെ വിവാഹം കഴിച്ച ഡാർവിന് പത്ത് മക്കളുണ്ടായിരുന്നു.
"
"Darwin went on to marry his cousin, Emma Wedgwood.
","തന്റെ കസിൻ ആയിരുന്ന എമ്മാ വെഡ്ജ്വുഡിനെ ആയിരുന്നു ഡാർവിൻ വിവാഹം കഴിച്ചിരുന്നതു്.
"
"Daughter of an ambassador, her father was a first cousin of socialist Salvador Allende, President of Chile from 1970 to 1973.
","1970 മുതൽ 1973 വരെ ചിലി പ്രസിഡന്റ് സാൽവഡോർ അലൻഡെയുടെ ആദ്യ കസിൻ ആയിരുന്നു അവരുടെ പിതാവ്.
"
"Edward was born at 10:48 in the morning on 9 November 1841 in Buckingham Palace,[1] he was the eldest son and second child of Queen Victoria and her husband (and first cousin) Prince Albert of Saxe-Coburg and Gotha.
","1841 നവംബർ 9 ന് രാവിലെ 10:48 ന് ബക്കിംഗ്ഹാം കൊട്ടാരത്തിലാണ് എഡ്വേർഡ് ജനിച്ചത്. . [1] വിക്ടോറിയ രാജ്ഞിയുടെയും ഭർത്താവ് സാക്സ്-കോബർഗിലെയും ഗോതയിലെയും ആൽബർട്ട് രാജകുമാരന്റെ മൂത്ത മകനും രണ്ടാമത്തെ കുട്ടിയുമായിരുന്നു അദ്ദേഹം.
"
